Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8275748k(4083312k free), swap 16664356k(10047336k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.371: [GC (Allocation Failure) 0.371: [DefNew: 960K->64K(960K), 0.0012085 secs] 26502K->26015K(524224K), 0.0012496 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.375: [GC (Allocation Failure) 0.375: [DefNew: 960K->64K(960K), 0.0011390 secs] 26913K->26303K(524224K), 0.0011682 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.378: [GC (Allocation Failure) 0.378: [DefNew: 960K->63K(960K), 0.0009466 secs] 27200K->26585K(524224K), 0.0009722 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.381: [GC (Allocation Failure) 0.381: [DefNew: 959K->63K(960K), 0.0010129 secs] 27482K->26894K(524224K), 0.0010524 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.386: [GC (Allocation Failure) 0.386: [DefNew: 959K->63K(960K), 0.0011168 secs] 27791K->27308K(524224K), 0.0011591 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.389: [GC (Allocation Failure) 0.389: [DefNew: 959K->63K(960K), 0.0014135 secs] 28206K->27650K(524224K), 0.0014605 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.394: [GC (Allocation Failure) 0.394: [DefNew: 959K->63K(960K), 0.0015629 secs] 28547K->27983K(524224K), 0.0016296 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.399: [GC (Allocation Failure) 0.399: [DefNew: 959K->64K(960K), 0.0023716 secs] 28880K->28581K(524224K), 0.0024450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.404: [GC (Allocation Failure) 0.404: [DefNew: 960K->63K(960K), 0.0013013 secs] 29478K->29019K(524224K), 0.0013373 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.409: [GC (Allocation Failure) 0.409: [DefNew: 959K->64K(960K), 0.0011931 secs] 29916K->29385K(524224K), 0.0012278 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.418: [GC (Allocation Failure) 0.418: [DefNew: 960K->64K(960K), 0.0025545 secs] 30794K->30249K(524224K), 0.0026268 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
0.423: [GC (Allocation Failure) 0.423: [DefNew: 960K->63K(960K), 0.0011528 secs] 31146K->30595K(524224K), 0.0011848 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.427: [GC (Allocation Failure) 0.427: [DefNew: 959K->63K(960K), 0.0009813 secs] 31492K->30903K(524224K), 0.0010232 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.429: [GC (Allocation Failure) 0.429: [DefNew: 959K->64K(960K), 0.0009888 secs] 31799K->31163K(524224K), 0.0010291 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.431: [GC (Allocation Failure) 0.431: [DefNew: 960K->63K(960K), 0.0008450 secs] 32059K->31398K(524224K), 0.0008679 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.434: [GC (Allocation Failure) 0.434: [DefNew: 959K->64K(960K), 0.0010406 secs] 32295K->31709K(524224K), 0.0010825 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.437: [GC (Allocation Failure) 0.437: [DefNew: 960K->64K(960K), 0.0010833 secs] 32606K->31974K(524224K), 0.0011066 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.442: [GC (Allocation Failure) 0.442: [DefNew: 960K->63K(960K), 0.0009869 secs] 32871K->32317K(524224K), 0.0010098 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.446: [GC (Allocation Failure) 0.446: [DefNew: 959K->63K(960K), 0.0011477 secs] 33218K->32640K(524224K), 0.0011836 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.448: [GC (Allocation Failure) 0.448: [DefNew: 959K->63K(960K), 0.0014487 secs] 33548K->32904K(524224K), 0.0014953 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.453: [GC (Allocation Failure) 0.453: [DefNew: 959K->63K(960K), 0.0010441 secs] 33808K->33252K(524224K), 0.0010817 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.456: [GC (Allocation Failure) 0.456: [DefNew: 959K->63K(960K), 0.0010224 secs] 34180K->33493K(524224K), 0.0010833 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.460: [GC (Allocation Failure) 0.460: [DefNew: 959K->64K(960K), 0.0008379 secs] 34428K->33736K(524224K), 0.0008593 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.464: [GC (Allocation Failure) 0.464: [DefNew: 960K->64K(960K), 0.0007561 secs] 34676K->33977K(524224K), 0.0007743 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
